NO.,code,Description,Package,Q'TY,liter/bottle,bottle/box,"Quantity Q'ty (Unit)
ORDER",T.Liter,N.WEIGHT,T.N.WEIGHT (KG),G.WEIGHT,T.G_WEIGHT,CBM,T.CBM
2710197120,E107612,S-OIL 7 RED #9 SN 5W-40 (200),200L Drum,2,200,1,2,400,170.6,341.2,188.6,377.2,0.298,0.62
2710197120,E107633,S-OIL 7 RED #9 SN 10W-40 (4x4),4L x 4,300,4,4,1200,4800,13.76,4128,14.6,4380,0.035,9
2710197120,E107634,S-OIL 7 RED #9 SN 10W-40 (200),200L Drum,4,200,1,4,800,172,688,190,760,0.298,1.24
2710197120,E107751,S-OIL 7 GOLD #9 ECO C3 5W-30 ,5L x 3,16,5,3,48,240,12.81,204.96,13.65,218.4,0.033,0.448
2710197120,E108012,S-OIL 7 4T RIDER #9 MA2 10W-40 (1x12),1L x 12,40,1,12,480,480,10.224,408.96,11.21,448.32,0.023,0.88
2710197900,E107074,HYDRO FLUID AW 68 (200L DM),200L Drum,10,200,1,10,2000,174.8,1748,192.8,1928,0.298,0.32
2710197230,E107807,S-OIL 7 GEAR HD 80W-90 (1x12),1L x 12,20,1,12,240,240,10.68,213.6,11.66,233.28,0.023,0.44
2710197230,E107806,S-OIL 7 GEAR HD 80W-90 (20),20L Pail,15,20,1,15,300,17.8,267,19.25,288.75,0.032,0.48
2710197230,E107798,S-OIL 7 GEAR HD 85W-140 (200),200L Drum,5,200,1,5,1000,180,900,198,990,0.298,1.55
2710197330,E107993,S-OIL 7 ATF III (1x12),1L x 12,250,1,12,3000,3000,10.32,"2,580.00",11.3,2826,0.023,5.5
2710197330,E107991,S-OIL 7 ATF III (200),200L Drum,4,200,1,4,800,172,688,190,760,0.298,1.24
2710197330,E107983,S-OIL 7 ATF VI (1x12),1L x 12,200,1,12,2400,2400,10.152,"2,030.40",11.14,2227.2,0.023,4.4
2710197330,E108087,S-OIL 7 ATF VI (200),200L Drum,4,200,1,4,800,169.2,676.8,187.2,748.8,0.298,1.24
